"Year_Q","Y","X1","X2","X3","X4","X5","X6","X7"
"2006_Dec",4.51563363333333,0.8,2.5,1.2,3.1,86.6,159.9,20627.5
"2006_Jun",4.85727556666667,-0.1,2.8,1.6,0.3,85.9,151.2,20451
"2006_Mar",5.04444723333333,-0.2,-1.9,0.9,2.5,84.5,143.6,20398.1
"2006_Sep",4.6785077,1,1.3,1,1.2,86.7,156.9,20542.3
"2007_Dec",4.35403173333333,-0.1,0.8,1.2,1.8,89.1,179.7,21016.1
"2007_Jun",4.32479593333333,0.2,-0.3,0.5,-0.9,87.7,168.4,20827.6
"2007_Mar",4.5495022,0.9,0,1.8,3.1,86.6,162.9,20742.8
"2007_Sep",4.2554697,0.7,1.1,1.6,-0.8,88.3,174.4,20924.2
"2008_Dec",4.44130793333333,-0.9,0.9,0.2,-2.2,92.4,NA,21475.6
"2008_Jun",4.25829716666667,-0.2,-1.1,-0.3,8.2,91.6,182,21249.2
"2008_Mar",4.08603153333333,0.5,2.6,0.6,2.8,90.3,182.9,21148.9
"2008_Sep",4.1852701,0.1,3.2,0.1,6.1,92.7,NA,21366
"2009_Dec",5.55818363333333,0.4,0.5,1,4.3,94.3,150.3,21865.6
"2009_Jun",5.72848433333333,0.2,1.3,1.4,-9.7,92.9,NA,21691.7
"2009_Mar",5.3074046,0.4,-1.1,0.3,-5,92.5,NA,21601.7
"2009_Sep",5.6835246,-0.1,-0.5,0.3,-1.8,93.8,NA,21788.1
"2010_Dec",5.09076163333333,0.5,2.3,1.2,2.7,96.9,187.3,22172.5
"2010_Jun",5.29016243333333,0.3,2.3,1.4,11.3,95.8,173,22031.8
"2010_Mar",5.32922273333333,0.1,2.1,0.6,5.9,95.2,162.2,21964.1
"2010_Sep",5.1255343,0.4,-2.6,0.6,1.8,96.5,181.1,22104.4
"2011_Dec",5.2061192,0.6,0.4,0.5,-4.3,99.8,181.3,22522.2
"2011_Jun",4.9625148,0.9,1.5,0.8,2.1,99.2,187.4,22340
"2011_Mar",4.9674887,-0.7,1.9,0.8,5.7,98.3,190,22268.8
"2011_Sep",5.19518283333333,0.9,1.9,0.7,1.5,99.8,183.5,22432.8
"2012_Dec",5.3683045,0,0.7,0.1,-1.7,102,163.4,22928
"2012_Jun",5.11828926666667,0.3,2.7,0.6,-0.9,100.4,179,22733.5
"2012_Mar",5.1411963,0.5,0.5,1.1,-5,99.9,180.4,22640.9
"2012_Sep",5.27576113333333,0.1,-2.7,-0.1,-4.4,101.8,173.6,22833.9
"2013_Dec",5.84324703333333,0.4,2.4,0.6,0.7,104.8,140.3,23297.8
"2013_Jun",5.63010023333333,0,-0.6,0.3,0.5,102.8,143.6,23128.1
"2013_Mar",5.47508416666667,0,2,0.8,0.6,102.4,152.3,23043
"2013_Sep",5.7277874,0.4,2.7,0.8,-2.3,104,139.8,23220.2
"2014_Dec",6.25835816666667,0,0.3,0.6,-2.1,106.6,149.5,23640.3
"2014_Jun",5.92628983333333,0.1,-0.4,0.3,-3.2,105.9,145.7,23475.7
"2014_Mar",5.89930093333333,0.4,-1.5,0.2,-2.5,105.4,142.8,23406.2
"2014_Sep",6.1682983,0.1,1.9,1,-3.6,106.4,147.7,23562.9
"2015_Dec",5.8414573,0.2,1.2,0.6,-4.4,108.4,167.1,23984.6
"2015_Jun",6.0155521,-0.3,2,0.7,-2.7,107.5,157.1,23816
"2015_Mar",6.19693066666667,0.6,3.4,0.7,-3.3,106.8,152.6,23745.6
"2015_Sep",6.17746673333333,0.7,1.7,1,-2.5,108,162.3,23904.3
"2016_Dec",5.73000656666667,0.6,-0.9,0.5,10.9,110,180.7,24385.1
"2016_Jun",5.68639883333333,0.2,3,0.8,3.6,108.6,173.5,24190.9
"2016_Mar",5.7898123,0.5,1.9,1,-2.2,108.2,170.5,24103.4
"2016_Sep",5.65314836666667,-0.4,1.4,0.9,4.2,109.4,177.2,24297.5
"2017_Dec",5.47297516666667,0.1,2.1,1.2,0,112.1,205.7,24759
"2017_Jun",5.58689513333333,0.2,-0.1,0.7,-4.4,110.7,189.7,24592.6
"2017_Mar",5.79577866666667,-0.1,1.9,0.7,3.9,110.5,184.6,24511.4
"2017_Sep",5.52370993333333,0.5,0.7,0.5,0,111.4,196.9,24690.1
"2018_Dec",5.0520352,-0.1,3.1,0.7,2.8,114.1,231.7,25146.1
"2018_Jun",5.42529013333333,0.3,1.6,0.6,0,113,221.9,24963.3
"2018_Mar",5.52928233333333,0.6,1.8,0.7,1.6,112.6,214.4,24881.8
"2018_Sep",5.20030053333333,0,1.8,0.4,1.3,113.5,228.3,25067.4
"2019_Dec",5.18058423333333,0.2,2.1,0.7,-4.4,116.2,226.1,25520.5
"2019_Jun",5.2357819,0.1,3.7,1.2,2.1,114.8,227.8,25334.8
"2019_Mar",5.03367996666667,0.2,1.4,0.4,1.6,114.1,230.7,25264.9
"2019_Sep",5.25102073333333,0.3,1.5,0.2,1.2,115.4,225.3,25438.1
"2020_Dec",6.7994451,3.3,1.1,3.5,5.2,117.2,263.6,25630.7
"2020_Jun",6.93290523333333,-6.8,2.1,-8.2,-1.1,114.4,236,25649.2
"2020_Mar",5.18339523333333,-0.5,1.8,-0.4,0.4,116.6,230.2,25627.9
"2020_Sep",7.0864415,3.8,5.4,6,2.1,116.2,246.1,25633.3
"2021_Dec",4.6760452,3.6,0.8,4.7,-6.5,121.3,406.6,25771.6
"2021_Jun",5.1595102,0.6,1.1,1,6,118.8,308.4,25685.4
"2021_Mar",5.9115482,2.1,-0.1,0.9,8.1,117.9,285.9,25653
"2021_Sep",4.63588696666667,-2.2,3.5,-2.3,1.3,119.7,326.8,25703.6
"2022_Dec",3.47279663333333,0.1,1.7,0.4,0.3,130.8,450.9,26268.4
"2022_Jun",3.79666593333333,0.4,-0.2,1.2,4,126.1,444.6,26005.5
"2022_Mar",4.02804673333333,0.2,4.3,2.1,9.8,123.9,426.4,25906
"2022_Sep",3.50173546666667,0.1,-0.5,0.6,-6.6,128.4,454.2,26141.3
"2023_Jun",3.57691873333333,NA,NA,NA,NA,133.7,432.2,NA
"2023_Mar",3.58132236666667,-0.2,0.7,0.2,2.8,132.6,442.2,NA
